"2020-05-22 08:56:27",1,3,1,0,2,3,5,2,1,3,2,2,341,1,5,4,3,4,1,"N
"2020-05-22 08:58:19",8,4,2,3,1,4,1,1,1,3,2,1,342,4,3,2,2,3,0,"N
"2020-05-22 09:00:10",9,2,2,3,1,1,1,1,3,2,2,1,343,6,3,2,3,4,1,"N
"2020-05-22 13:41:55",2,2,0,3,2,5,4,1,2,3,1,2,344,1,2,1,0,2,0,"N
"2020-05-22 14:00:36",1,1,1,1,1,1,1,1,1,1,1,1,345,1,0,0,0,0,0,"N
"2020-05-22 14:01:38",1,1,1,1,1,1,1,1,1,1,1,1,346,2,0,0,0,0,0,"N
"2020-05-22 21:28:20",1,0,1,1,1,2,1,1,2,3,2,2,347,1,0,0,0,2,0,"N
"2020-05-25 22:40:15",2,2,2,0,2,5,6,1,2,4,2,2,354,1,2,2,0,1,0,"N
"2020-05-26 10:22:44",1,3,2,2,2,2,1,1,1,2,1,2,355,1,1,0,0,1,0,"N
"2020-05-26 11:27:42",15,2,1,1,1,1,1,1,2,1,1,2,356,1,4,1,0,0,0,"N
"2020-05-26 11:30:29",15,3,2,1,2,1,2,1,1,3,1,1,357,1,3,0,0,0,0,"N
"2020-05-26 12:07:33",22,2,1,2,2,1,1,2,1,4,2,2,358,1,3,1,0,2,0,"N
"2020-05-26 12:44:55",3,2,2,0,2,1,1,1,2,0,0,2,359,1,2,1,0,3,0,"N
"2020-05-26 23:42:16",2,3,1,0,2,1,1,1,1,1,1,2,360,3,0,0,0,3,1,"N
"2020-05-27 01:25:13",1,0,1,1,1,1,1,1,1,1,1,2,361,1,0,0,0,2,0,"N
"2020-05-27 11:08:17",1,3,2,1,2,3,1,1,1,1,1,2,362,1,0,1,0,2,1,"N
"2020-05-27 19:47:16",3,2,2,2,2,4,1,2,2,0,2,2,363,1,2,0,0,3,0,"N
"2020-05-27 20:56:40",1,0,1,1,1,1,1,1,1,4,0,2,364,1,0,0,2,1,0,"N
"2020-05-28 03:17:59",1,2,1,2,1,1,1,1,1,2,1,2,365,1,1,1,1,3,1,"N
"2020-05-28 03:47:23",9,3,2,1,2,1,1,1,1,1,2,2,366,1,4,0,0,2,0,"N
"2020-05-28 11:52:56",4,0,2,2,2,1,2,1,1,2,1,2,367,1,2,0,0,2,0,"N
"2020-05-28 13:03:31",7,2,2,1,2,1,3,1,1,2,1,2,368,1,3,1,0,2,0,"N
"2020-05-28 13:44:27",2,0,2,1,1,1,1,1,3,1,1,1,369,1,0,0,0,1,0,"N
"2020-05-28 16:50:56",6,2,2,2,2,2,5,1,1,1,2,2,372,1,1,0,0,3,0,"N
"2020-05-28 17:14:31",1,2,1,1,1,1,1,3,3,1,1,1,373,1,0,1,0,2,0,"N
"2020-05-29 12:55:27",3,3,1,1,1,2,1,2,1,3,1,2,374,1,0,0,0,2,0,"N
"2020-05-29 13:01:04",2,1,0,0,2,1,1,1,1,2,1,2,375,1,2,1,0,3,1,"N
"2020-05-29 13:09:40",30,1,1,1,1,1,1,1,0,1,0,2,376,1,3,4,0,0,0,"N
"2020-05-29 13:32:34",1,0,2,2,2,4,1,2,3,4,2,2,377,2,1,0,0,3,0,"N
"2020-05-29 15:38:49",19,3,2,3,2,2,1,3,2,3,2,2,378,3,4,0,0,1,1,"N
"2020-05-29 17:47:43",5,3,2,3,2,3,4,2,2,3,1,1,379,1,2,0,1,2,0,"N
"2020-05-29 23:44:21",2,2,1,1,1,1,1,3,2,3,2,2,380,3,2,0,0,2,0,"N
"2020-05-30 02:07:23",2,1,1,1,1,1,1,1,1,1,1,2,381,1,0,1,1,2,1,"N
"2020-05-31 02:44:07",2,2,2,3,2,4,2,3,2,4,2,2,382,1,1,0,2,3,1,"N
"2020-05-31 11:32:16",5,0,2,2,1,1,1,1,1,1,1,1,383,1,1,0,0,0,0,"N
"2020-05-31 17:34:53",6,3,0,3,2,4,5,1,3,4,2,2,384,6,3,2,2,4,0,"N
"2020-05-31 20:20:23",5,2,2,2,2,1,4,1,2,4,1,1,385,3,2,4,0,2,0,"N
"2020-05-31 20:22:30",10,2,1,1,1,2,3,2,1,3,1,1,386,3,2,4,0,0,0,"N
"2020-05-31 20:31:13",2,2,2,1,2,2,4,1,1,2,1,2,387,3,4,0,0,2,0,"N
"2020-05-31 21:15:28",29,2,2,3,2,1,0,1,1,4,2,2,388,1,3,0,0,3,0,"N
"2020-06-01 06:33:52",4,1,1,1,1,1,2,1,1,1,1,2,390,3,1,1,1,0,0,"N
"2020-06-02 13:59:08",1,0,1,1,1,1,1,1,2,2,1,2,391,1,3,0,0,0,0,"N
"2020-06-02 14:59:29",1,0,2,1,1,1,1,1,3,1,1,2,392,1,3,0,0,0,0,"N
"2020-06-02 15:06:43",1,3,0,1,0,0,1,0,2,2,1,2,393,1,3,0,0,0,0,"N
"2020-06-02 15:09:09",20,3,2,1,0,0,1,0,3,2,2,2,394,1,3,0,0,0,0,"N
"2020-06-02 15:11:01",20,3,0,0,0,0,0,0,0,0,0,2,395,1,3,0,0,0,0,"N
"2020-06-02 15:13:41",1,3,0,0,0,0,0,0,0,0,0,2,396,1,3,0,0,0,0,"N
"2020-06-03 00:43:51",3,2,1,1,2,1,2,1,1,1,1,2,397,1,0,0,0,2,1,"N
"2020-06-03 02:41:31",1,2,1,2,2,1,4,2,2,3,2,2,398,1,1,0,0,2,0,"N
"2020-06-03 21:14:08",35,2,2,1,1,3,1,2,3,2,2,2,399,1,4,1,0,3,1,"N
"2020-06-03 22:20:14",7,0,2,1,2,2,1,2,2,2,1,2,400,1,3,0,0,3,1,"N
"2020-06-03 23:30:11",3,2,1,1,2,5,1,1,3,4,2,2,401,3,2,0,0,2,0,"N
"2020-06-04 00:59:14",2,2,1,1,2,1,1,1,1,2,1,2,402,1,2,0,0,3,1,"N
"2020-06-04 15:41:25",3,3,1,1,1,1,1,1,1,1,0,1,403,1,0,0,0,5,1,"N
"2020-06-05 00:09:38",2,1,1,1,2,1,1,1,2,1,1,2,404,1,0,0,0,0,0,"N
"2020-06-05 00:11:33",2,3,2,1,2,2,1,2,2,4,2,2,405,1,0,0,0,1,0,"N
"2020-06-05 01:14:16",1,0,1,3,2,1,0,3,2,1,1,2,406,1,2,1,0,0,0,"N
"2020-06-05 03:24:27",2,0,1,1,1,3,1,2,2,1,1,1,407,1,0,1,1,3,1,"N
"2020-06-05 03:50:01",3,0,1,2,1,3,1,2,3,1,1,1,408,1,0,1,1,3,0,"N
"2020-06-05 04:43:59",5,3,1,1,2,1,1,1,2,1,1,2,409,11,0,0,0,1,0,"N
"2020-06-05 05:04:08",2,0,2,1,2,0,1,1,1,1,0,2,410,1,0,1,0,4,0,"N
"2020-06-05 12:32:48",33,0,2,2,2,1,1,1,2,3,1,2,411,1,3,1,0,0,0,"N
"2020-06-05 13:56:19",2,1,1,3,2,1,1,1,1,2,1,2,412,1,2,0,2,3,1,"N
"2020-06-05 13:56:36",1,2,2,1,2,1,1,1,2,1,1,1,413,1,0,0,0,2,1,"N
"2020-06-05 16:32:31",3,2,2,2,1,3,5,1,1,3,1,2,414,1,1,0,0,2,0,"N
"2020-06-05 16:35:25",2,2,1,1,1,1,1,1,1,1,1,2,415,1,1,1,0,4,1,"N
"2020-06-05 16:53:29",5,0,1,1,2,2,1,1,2,3,1,2,416,3,1,0,0,3,0,"N
"2020-06-05 18:04:04",4,2,2,1,2,1,3,1,1,4,2,2,417,3,1,0,0,3,0,"N
"2020-06-05 18:14:40",1,2,1,1,1,1,1,1,1,1,1,2,418,1,0,1,0,3,0,"N
"2020-06-06 01:02:54",21,0,1,1,1,1,1,1,1,1,0,1,419,1,3,0,0,0,0,"N
"2020-06-06 02:37:19",8,2,1,2,2,3,1,1,2,1,1,2,420,1,3,1,0,3,0,"N
"2020-06-06 02:38:44",8,2,1,2,2,5,1,1,2,1,1,2,421,1,3,1,0,3,0,"N
"2020-06-06 15:18:06",6,0,0,1,0,1,1,1,1,1,1,1,422,1,2,1,0,0,0,"N
"2020-06-06 16:27:40",3,1,1,1,2,4,3,2,1,1,2,1,423,1,0,0,2,3,1,"N
"2020-06-06 20:18:37",3,2,2,1,2,2,5,1,1,3,2,2,424,1,2,4,0,2,0,"N
"2020-06-06 20:20:42",10,2,2,1,1,1,5,1,1,2,2,2,425,1,2,4,0,2,0,"N
"2020-06-06 20:22:11",10,2,1,1,1,1,5,1,1,2,1,2,426,1,2,4,0,2,0,"N
"2020-06-06 23:42:53",1,3,2,3,2,0,1,2,2,1,1,2,427,3,0,0,0,3,0,"N
"2020-06-07 21:23:54",3,0,1,1,1,1,1,1,1,1,1,2,428,1,2,0,0,3,1,"N
"2020-06-07 22:13:45",5,0,2,1,2,4,2,1,1,1,2,2,429,1,3,0,0,1,0,"N
"2020-06-08 00:14:43",3,3,2,1,2,1,1,1,1,1,2,1,430,1,0,0,0,0,0,"N
"2020-06-08 19:59:35",20,3,2,1,2,5,1,1,1,1,1,1,433,4,3,0,0,1,1,"N
"2020-06-08 20:02:14",20,3,2,1,1,5,1,1,1,1,1,1,434,4,3,0,0,1,1,"N
"2020-06-08 20:55:28",7,2,1,1,1,5,4,1,1,2,1,2,435,1,4,0,0,0,0,"N
"2020-06-09 00:19:33",10,0,1,1,2,1,1,2,3,4,1,2,436,1,2,0,0,1,0,"N
"2020-06-09 01:24:44",2,0,2,1,2,1,1,1,1,2,0,2,437,1,1,1,0,2,0,"N
"2020-06-09 12:01:12",1,2,2,3,0,1,1,1,1,1,2,2,438,1,3,0,0,5,1,"N
"2020-06-09 16:13:05",5,2,2,1,2,2,1,3,1,2,2,1,439,1,1,1,0,0,1,"N
"2020-06-09 21:31:22",1,0,2,1,2,1,1,0,2,1,2,2,440,1,1,1,0,3,0,"N
"2020-06-09 21:35:31",1,0,2,1,2,1,1,1,2,1,1,2,441,1,1,0,0,3,0,"N
"2020-06-09 21:37:51",1,0,1,1,2,1,1,2,1,2,2,2,442,1,0,4,0,3,0,"N
"2020-06-09 21:38:03",5,1,1,2,2,0,1,1,1,3,1,2,443,1,1,0,2,3,0,"N
"2020-06-09 22:02:44",3,2,1,1,2,2,1,2,2,1,1,2,444,1,2,1,0,3,0,"N
"2020-06-10 02:40:01",13,0,2,1,2,1,1,0,1,1,1,2,445,1,2,1,0,3,0,"N
"2020-06-10 18:06:39",9,3,2,1,2,1,1,1,1,1,1,1,447,2,1,0,0,0,0,"N
"2020-06-10 21:13:31",1,3,1,2,1,1,3,1,2,2,1,1,448,1,1,2,1,1,0,"N
"2020-06-11 03:14:22",2,2,1,1,1,1,1,1,2,1,2,2,449,1,0,1,0,0,0,"N
"2020-06-11 07:33:17",6,3,1,2,1,1,1,1,1,1,1,2,450,1,2,0,1,3,1,"N
"2020-06-11 21:36:11",16,0,2,3,2,3,1,2,3,4,2,2,451,1,3,0,0,3,0,"N
"2020-06-11 21:54:12",1,0,1,1,1,1,1,1,2,1,1,2,452,4,0,1,0,2,0,"N
"2020-06-12 03:21:15",1,0,2,0,2,1,1,1,1,1,1,2,453,1,4,0,0,2,1,"N
"2020-06-12 16:54:41",15,2,2,3,2,4,1,3,2,4,2,2,456,2,2,0,0,2,0,"N
"2020-06-12 17:09:42",3,3,2,1,1,5,6,2,1,4,2,2,457,1,2,0,0,1,0,"N
"2020-06-12 19:09:30",3,2,1,2,1,2,4,1,1,2,1,2,458,1,2,1,4,5,0,"N
"2020-06-15 00:06:14",2,2,2,1,2,5,4,3,3,4,2,2,460,1,2,1,0,0,0,"N
"2020-06-15 14:29:12",5,2,2,2,2,1,1,1,1,1,1,2,461,1,2,1,0,2,0,"N
"2020-06-15 15:13:11",6,1,1,1,1,4,2,2,1,1,1,2,462,1,0,0,1,3,0,"N
"2020-06-15 18:40:14",3,2,1,3,2,1,3,1,3,3,2,1,463,3,5,4,4,5,0,"N
"2020-06-16 01:08:56",31,3,2,0,0,0,1,1,1,0,0,2,464,1,3,0,0,1,0,"N
"2020-06-16 20:32:11",6,2,1,1,2,1,1,1,1,0,0,2,465,1,3,1,0,2,0,"N
"2020-06-19 00:13:31",6,0,1,1,1,1,1,1,1,1,1,2,468,1,2,0,1,3,1,"N
"2020-06-19 02:11:11",5,0,2,1,1,1,1,1,2,1,1,2,469,1,1,0,1,0,1,"N
"2020-06-19 21:06:54",15,2,1,1,2,1,1,1,1,2,1,2,470,1,3,1,0,4,0,"N
"2020-06-22 02:40:00",1,0,1,1,1,1,1,1,1,1,1,2,472,1,1,0,4,4,1,"N
"2020-06-22 16:56:27",3,2,2,2,2,4,5,2,2,4,2,2,473,1,1,1,0,2,0,"N
"2020-06-22 16:59:38",3,2,2,1,2,1,4,2,2,4,2,2,474,1,1,1,0,2,0,"N
"2020-06-23 15:00:52",17,1,2,1,2,1,1,0,0,4,2,2,475,1,3,1,0,5,0,"N
"2020-06-23 18:46:16",35,0,2,3,2,1,1,1,1,4,2,2,476,1,3,0,0,0,1,"N
"2020-06-23 18:55:12",8,0,0,1,0,5,0,3,0,4,2,2,477,3,2,1,0,3,1,"N
"2020-06-23 21:16:46",10,2,1,1,1,4,1,3,2,4,2,2,478,1,2,0,0,2,0,"N
"2020-06-24 13:23:52",3,0,1,0,2,1,1,1,1,4,1,2,479,1,3,1,0,2,0,"N
"2020-06-25 02:25:47",11,2,2,1,2,2,1,1,2,1,1,1,480,1,1,1,0,1,0,"N
"2020-06-25 13:53:20",15,1,1,1,2,1,5,2,2,4,1,2,481,1,3,0,0,2,0,"N
"2020-06-25 14:36:30",3,2,1,1,2,4,5,2,3,4,2,2,482,4,0,0,0,3,1,"N
"2020-06-25 16:20:55",1,2,2,1,1,4,6,2,3,4,1,2,483,1,1,0,0,3,0,"N
"2020-06-25 16:30:37",1,2,1,1,2,1,1,1,1,1,1,2,484,3,4,0,0,3,1,"N
"2020-06-26 01:07:00",2,2,1,1,1,1,1,1,2,2,1,2,485,4,1,0,0,3,0,"N
"2020-06-26 01:36:14",1,0,0,1,1,1,1,1,2,1,1,2,486,1,5,4,4,5,0,"N
"2020-06-26 14:39:35",2,1,2,3,2,2,5,2,1,2,2,1,487,1,5,4,4,1,0,"N
"2020-06-26 20:46:49",1,2,2,3,2,5,6,3,2,4,2,2,488,4,1,0,0,3,0,"N
"2020-06-26 22:46:15",1,0,1,1,1,0,5,1,2,3,0,2,489,1,1,0,0,3,0,"N
"2020-06-27 00:10:55",2,0,2,1,1,1,1,1,1,4,1,2,490,1,0,0,0,3,0,"N
"2020-06-27 00:21:53",1,2,1,1,1,2,1,1,2,1,1,2,491,1,0,0,0,3,0,"N
"2020-06-27 01:42:36",1,1,1,1,1,1,1,1,1,2,1,2,492,1,0,0,0,3,0,"N
"2020-06-27 07:41:47",1,2,2,0,2,5,6,2,2,4,2,2,493,1,5,4,4,5,1,"N
"2020-06-28 02:56:26",1,2,1,2,2,2,1,2,2,1,2,2,494,1,2,4,0,2,0,"N
"2020-06-28 05:35:40",12,2,0,1,1,3,1,1,2,2,1,2,495,1,3,0,0,1,1,"N
"2020-06-28 13:45:55",1,2,2,1,2,1,6,1,1,4,2,2,496,3,2,0,0,3,0,"N
"2020-06-29 17:52:46",3,0,1,1,1,1,1,2,1,1,1,1,497,1,0,0,0,0,0,"N
"2020-06-29 20:34:55",2,0,1,1,1,1,2,1,2,1,1,2,498,1,1,1,0,2,0,"N
"2020-06-30 01:32:15",1,0,1,1,2,1,6,2,1,1,1,1,500,1,2,1,0,0,0,"N
"2020-06-30 02:31:30",4,2,2,2,2,3,4,1,1,2,1,2,501,8,2,4,4,5,1,"N
